fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o
"137",244,Randolph,"1","1",97.781328489833,"1","29479","14244","15235","6380","19113","3986","11826","10436","57","3876","1","591","805","1887","7408","2500","1851","1538","847","364","308","2948","2348","482","52","32","24","2","8","11945","580","681","370","399","289","407","444","507","409","739","1370","1598","1436","1247","756","713"
"138",251,Rockland,"1","1",54.1779845738064,"1","6542","3055","3487","1556","3887","1099","6017","156","5","67","1","60","108","128","1681","624","386","384","183","75","29","793","677","107","4","3","2","0","0","2663","99","47","165","55","108","89","35","95","89","206","205","366","308","304","363","129"
"139",252,Rockport,"1","1",73.2090725946021,"1","2394","1121","1273","433","1395","566","2281","15","1","16","2","6","29","44","672","337","149","129","43","10","4","334","290","40","3","1","0","0","0","1735","67","53","78","19","39","55","75","60","75","118","156","289","146","171","186","148"
"140",26,Belmont,"1","1",75.0166180336951,"1","12561","5996","6565","3546","6841","2174","10939","66","7","965","0","27","262","295","3578","1323","826","921","363","112","33","832","689","120","15","5","2","1","0","6149","252","85","74","96","141","101","50","225","89","296","326","560","327","421","770","2336"
"141",266,Sharon,"1","1",98.4283190307621,"1","16699","8079","8620","4556","10054","2089","13468","671","9","1888","6","41","270","346","4807","1789","1122","1294","413","141","48","1038","870","143","14","9","1","0","1","5977","122","97","56","20","129","75","64","117","104","144","263","626","780","611","935","1834"
"142",286,Stow,"1","1",0.0345961613154492,"1","52","23","29","17","27","8","46","4","0","0","0","0","0","2","14","4","4","5","0","1","0","6","6","0","0","0","0","0","0",,,,,,,,,,,,,,,,,
"143",291,Swampscott,"1","1",77.8499666112588,"1","8274","4019","4255","2141","4900","1233","7792","57","2","168","1","8","88","158","2437","1002","563","586","214","63","9","598","498","88","9","1","2","0","0","3312","55","51","27","95","115","20","42","38","101","165","215","268","280","352","552","936"
"144",46,Brookline,"1","1",69.4747089270653,"1","13667","6478","7189","3245","8241","2181","10685","445","8","1620","0","46","294","569","3502","1429","738","858","351","97","29","1226","958","201","38","15","12","1","1","5920","356","167","124","90","74","116","100","76","97","109","314","433","551","451","792","2070"
"145",307,Walpole,"1","1",90.5154437846051,"1","18416","9368","9048","4742","11213","2461","16566","492","27","534","1","33","146","617","4808","1703","1071","1162","617","193","62","1185","980","177","20","5","3","0","0","7566","131","85","185","165","228","113","242","118","203","369","439","720","941","642","1149","1836"
"146",308,Waltham,"1","1",76.0792793846205,"1","32667","15949","16718","4787","23197","4683","25889","1304","31","2672","6","102","500","2163","6991","3085","1670","1372","562","210","92","3851","2996","677","101","50","21","4","2","15293","753","323","298","360","447","361","286","351","530","1117","1315","1841","1700","1437","1838","2336"
"147",314,Watertown,"1","1",25.2830482844381,"1","5995","2859","3136","1119","3883","993","5225","122","1","295","0","25","128","199","1566","676","376","355","119","30","10","932","696","192","36","7","1","0","0","3199","70","30","189","45","0","153","29","32","15","151","286","547","336","307","304","705"
"148",30,Beverly,"1","1",28.5679848284158,"1","15446","7389","8057","3257","9488","2701","14618","134","9","198","3","23","142","319","4304","1876","1037","980","291","93","27","1904","1554","299","31","14","6","0","0","4415","89","148","104","69","147","121","89","88","173","363","300","583","603","367","602","569"
"149",344,Winchester,"1","1",79.8977493230552,"1","14707","7051","7656","4471","7867","2369","13170","71","7","970","7","21","215","246","4096","1444","858","1082","537","137","38","903","812","83","7","0","1","0","0","5237","84","22","63","65","39","147","43","38","66","118","322","224","324","438","549","2695"
"150",347,Woburn,"1","1",62.5805030292823,"1","18984","9217","9767","3872","11795","3317","16782","437","20","906","1","111","198","529","5193","2053","1297","1102","494","164","83","1984","1622","305","42","12","3","0","0","9175","228","155","330","319","159","285","257","266","181","615","943","1199","1412","736","1131","959"
"151",34,Bolton,"1","1",100,"0","4897","2424","2473","1449","2985","463","4577","22","7","130","1","3","70","87","1391","505","312","372","133","52","17","279","202","74","3","0","0","0","0","1678","10","37","24","22","31","14","32","30","25","34","129","130","155","132","276","597"
"152",48,Burlington,"1","1",89.9046508368596,"1","23070","11232","11838","5163","13910","3997","18546","657","30","2929","5","68","322","513","6308","2447","1476","1424","618","239","104","2258","1892","313","33","14","5","0","1","9145","202","91","289","226","212","228","254","312","167","490","623","1195","937","886","1325","1708"
"153",92,Essex,"1","1",0.148950953145011,"1","9","4","5","1","4","4","9","0","0","0","0","0","0","0","3","2","1","0","0","0","0","2","2","0","0","0","0","0","0",,,,,,,,,,,,,,,,,
"154",78,Dover,"1","1",100,"1","5589","2780","2809","1748","3079","762","5099","34","7","285","3","6","72","83","1585","576","325","388","213","64","19","284","247","33","3","0","1","0","0","2015","10","6","30","11","9","9","0","42","20","21","62","133","203","155","178","1126"
"155",99,Foxborough,"1","1",92.7863691876401,"1","11706","5796","5910","3058","7163","1485","10962","141","11","300","0","23","107","162","3280","1213","692","857","367","109","42","763","591","150","13","7","1","0","1","5258","120","159","38","89","31","178","178","96","25","240","394","787","638","558","746","981"
